PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2016-01-29T22:24:47.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR""): 16-081 Rentrak Corporation ... http://bit.ly/1KLc79g",,,
2016-01-29T22:24:46.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR"") http://bit.ly/1KLc79g via CBOE $$",,,
2016-01-29T22:02:06.000Z,Rentrak and comScore Shareholders Approve Merger http://ift.tt/1UvTxHE,,,
2016-01-29T21:34:51.000Z,Rentrak and comScore Shareholders Approve Merger http://bit.ly/1SprgDD,,,
2016-01-29T21:11:08.000Z,comScore-Rentrak Merger Approved by Shareholders | via Broadcasting & Cable http://buff.ly/1OV1kx9,,,
2016-01-29T20:41:44.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T19:54:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/ewPPc_5,,,
2016-01-29T19:52:04.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqvCvz8ZehM.twitter…,,,
2016-01-29T19:46:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VqvBg5-1Yas.twitter…,,,
2016-01-29T19:32:29.000Z,"#MarTech| Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aIPEx",,,
2016-01-29T19:31:23.000Z,#MarTech | Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aIP1v,,,
2016-01-29T19:31:11.000Z,"comScore, Rentrak Merger Approved By Shareholders http://buff.ly/1SfZc7x #advertising",,,
2016-01-29T19:24:56.000Z,"comScore and Rentrak Complete Merger http://bit.ly/1QLKPGq via 
@bcbeat",,,
2016-01-29T19:16:32.000Z,"#MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Re... http://ow.ly/3aINSB",,,
2016-01-29T19:16:32.000Z,"MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aINNz",,,
2016-01-29T19:01:42.000Z,"#MarTech Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Rent... http://ow.ly/3aIM8u",,,
2016-01-29T19:00:55.000Z,via @MarTechAdvisor Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aILHD,,,
2016-01-29T18:42:13.000Z,comScore and Rentrak complete their merger. Combined company starts trading Monday. http://bit.ly/1SOk6Ko,,,1
2016-01-29T18:41:06.000Z,"+ #analytics comScore comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C MediaPost",,,
2016-01-29T18:41:05.000Z,+ #analytics comScore RT bcbeat: .comScore and Rentrak Complete Merger: http://bit.ly/1SOk6Ko,,,
2016-01-29T18:40:32.000Z,"comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C 
@MediaPost",,10,8
2016-01-29T18:25:07.000Z,"@comScore
 and 
@Rentrak
 Complete Merger http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VquucDwU_xc.twitter…",,,
2016-01-29T18:22:12.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/bThV5uv,,,
2016-01-29T18:19:39.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.Vquscv_Uv9g.twitter…,,,
2016-01-29T18:03:13.000Z,".
@comScore
 and 
@Rentrak
 Complete Merger: http://bit.ly/1SOk6Ko",,16,3
2016-01-29T17:42:50.000Z,"FYI 
@QuirksMR
: Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:30:37.000Z,"Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:04:51.000Z,  Comscore CEO on Rentrak merger http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/comscore-ceo-rentrak-merger-162600253.html… YAHOO!,,1,
2016-01-29T16:08:39.000Z,"comScore, Rentrak merger approved by shareholders http://bit.ly/1SO6Khl",,,
2016-01-29T16:08:02.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T15:45:30.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1nSDhWU #portlandnews,,,
2016-01-29T15:38:34.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VquIOGqlL5k.twitter…,,,
2016-01-29T15:10:31.000Z,"RT 
@tacohen
: “
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,1
2016-01-29T14:12:57.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqtzZvTuV9M.twitter…,,,
2016-01-29T11:31:38.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO",,,
2016-01-29T10:53:08.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch,,,
2016-01-29T10:53:02.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch #azimonstudy,,,
2016-01-29T10:50:09.000Z,Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch,,,
2016-01-29T06:50:27.000Z,United States | comScore-Rentrak merger approved by shareholders - Read more at: http://tvbizz.net,,,
2016-01-29T06:02:52.000Z,ComScore-Rentrak merger approved by shareholders - $SCOR and $RENT to watch today #mergers #MnA,,,
2016-01-29T01:05:11.000Z,"congrats 
@comScore
 & 
@Rentrak
 on the shareholder merger approval  http://bit.ly/1Pm1sHF",,,
2016-01-28T23:48:41.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqoxAw3b8o.twitter…,,1,1
2016-01-28T23:28:17.000Z,"$RENT: Rentrak and ComScore (SCOR) shareholders approve merger, deal expected to close tomorrow http://bit.ly/1QI0R3X",,,
2016-01-28T23:18:13.000Z,"comScore, Rentrak Merger Approved By Shareholders - In separate meetings, the shareholders of comScore and Rent... http://ow.ly/3aGI95",,,
2016-01-28T23:07:18.000Z,"Replying to 
@gfulgoni“
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,
2016-01-28T23:00:46.000Z,comScore-Rentrak Merger Approved by Shareholders http://financialbuzz.com/comscore-rentrak-merger-approved-by-shareholders-395381…,,,
2016-01-28T22:50:38.000Z,RT GeoMktFan: RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterda… http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:36:11.000Z,RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterday m_abraham & … http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:32:04.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the shareholders of... http://bit.ly/1TqooXO",,,
2016-01-28T22:32:03.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,5,2
2016-01-28T22:29:14.000Z,"Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. Seems yesterday 
@m_abraham
 & I started comScore 15 yrs ago http://yhoo.it/1Tqoz5m",1,7,7
2016-01-28T22:21:49.000Z,"comScore-Rentrak Merger Approved by Shareholders http://bit.ly/1PWm19O via 
@bcbeat",,,
2016-01-28T22:12:10.000Z,"RT 
@TVNewsCheck
: ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://shrd.by/EGZBNQ",,,
2016-01-28T22:11:34.000Z,ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://bit.ly/1ZX5pEd,,2,1
2016-01-28T22:09:49.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqRzK0DMI0.twitter…,,,
2016-01-28T22:08:57.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1P0FpTk,,,
2016-01-28T21:54:36.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqNIHRZilA.twitter…,,,1
2016-01-28T21:54:01.000Z,"Rentrak, comScore shareholders vote to approve  merger http://multichannel.com/comscore-rentrak-merge/394173…",,,
2016-01-28T21:51:15.000Z,"Rentrak $RENT shareholders have voted to approve the merger with comScore $SCOR; deal is expected to close tomorrow, January 29, 2016",,,
2016-01-28T21:51:09.000Z,".
@comScore
-
@Rentrak
 Merger Approved by Shareholders: http://bit.ly/1PDDMKp",,4,
2016-01-28T21:49:21.000Z,"Shareholders approve 
@comScore
 / 
@Rentrak
 merger via 
@jlafayette
 http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqMZdtDrHo.twitter…",,,
2016-01-28T21:36:36.000Z,"ComScore, Rentrak shareholders OK last merger votes; closing tomorrow http://seekingalpha.com/news/3063766-comscore-rentrak-shareholders-ok-last-merger-votes-closing-tomorrow?source=feed_f… $SCOR $RENT",,,
2016-01-28T21:32:17.000Z,"$RENT comScore-Rentrak Merger Approved by Shareholders
From our Stock News Alerts App",,,
2016-01-28T21:23:21.000Z,"$SCOR comScore-Rentrak Merger Approved by Shareholders
From our Stock News Alerts App",,,
2016-01-28T15:05:52.000Z,".
@comScore
 and 
@Rentrak
 shareholders voting on merger today",,,
2016-01-26T19:49:48.000Z,+ #analytics comScore RT Rentrak: The merger w/ comScore is taking place because the consumer is ready. – Bill Liv… https://pic.twitter.com/db042UkwPC,,,
2016-01-26T00:35:27.000Z,"16-071 Rentrak Corporation (""RENT"") Proposed Merger with comScore, Inc. (""SCOR""): 16-071 Rentrak Corporation (... http://bit.ly/1Qx1ux6",,,
2016-01-26T00:35:26.000Z,"16-071 Rentrak Corporation (""RENT"") Proposed Merger with comScore, Inc. (""SCOR"") http://bit.ly/1Qx1ux6 via CBOE $$",,1,
2016-01-19T15:03:26.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1ZyCxln,,,
2016-01-16T15:09:33.000Z,#Nasdaq #stocks: Rentrak : #Merger #Acquisition Analysts conclude bare sales profits in Jan 2016. http://dg-di.co/DI/US2/12808.htm… #Merger,,,
2016-01-06T22:00:13.000Z,"I asked 
@Nielsen
 what they think about the ComScore/Rentrak merger and they said they're just focused on their own projects #CES2016",,,
2016-01-04T14:43:06.000Z,+ #analytics comScore RT researchlive: ComScore and Rentrak merger moves closer to completion http://bit.ly/1RbdkhE #marketresearch #mrx,,,
2016-01-04T14:26:53.000Z,researchlive: ComScore and Rentrak merger moves closer to completion http://bit.ly/1RbdkhE #marketresearch #mrx,,,
2016-01-04T14:18:22.000Z,researchlive: ComScore and Rentrak merger moves closer to completion http://bit.ly/1RbdkhE #marketresearch #mrx #azimonstudy,,,
2016-01-04T14:11:19.000Z,"ComScore and Rentrak merger moves closer to completion: Shareholder meetings for both companies have been... http://bit.ly/1kFc6fY #mrxComScore and Rentrak merger moves closer to completion | News
comScore and Rentrak have both scheduled shareholder meetings for January 28 in order to seek approval for the proposed merger.
research-live.com",,,
2016-01-04T14:11:19.000Z,ComScore and Rentrak merger moves closer to completion http://bit.ly/1RbdkhE #marketresearch #mrx,1,4,1
2015-12-31T04:52:54.000Z,"Media Measurement Firms ComScore, Rentrak Schedule Shareholder Votes on Merger http://manavigator.com/news/media-measurement-firms-comscore%2C-rentrak-schedule-shareholder-votes-on-merger…",,,
2015-12-30T19:26:07.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1ZC4yub,,,
2015-12-30T17:48:35.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1ZBVMwe,,,
2015-12-30T17:48:35.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1QZy9fK,,,
2015-12-30T17:47:52.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1QZy4sh,,,
2015-12-30T17:47:52.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://bit.ly/1ZBVIga,,,
2015-12-28T17:44:18.000Z,"Rentrak, comScore arrange shareholder meetings to discuss merger http://sbne.ws/r/tJnB",,,
2015-12-28T17:30:47.000Z,"Daily News Queue: ComScore, Rentrak schedule shareholder meetings for merger approval #MRX http://conta.cc/1R3yrAL",,,
2015-12-28T14:09:09.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion,,,
2015-12-25T06:14:40.000Z,http://tinyurl.com/ozk9a5f comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled,,,
2015-12-25T03:51:15.000Z,comScore and Rentrak Schedule Special Shareholder Meetings to Finalize Merger http://ift.tt/1OcY5lF,,,
2015-12-25T01:10:20.000Z,Rentrak shareholders to get their say on merger next month – Portland Business Journal http://thinclient.org/rentrak-shareholders-to-get-their-say-on-merger-next-month-portland-business-journal/…,,,
2015-12-25T00:43:03.000Z,Rentrak shareholders to get their say on merger next month http://dlvr.it/D5gS9M #PhillyBusiness,,,
2015-12-25T00:43:02.000Z,Rentrak shareholders to get their say on merger next month http://dlvr.it/D5gVPM #Marketing,,,
2015-12-25T00:24:09.000Z,Rentrak shareholders to get their say on merger next month: Shareholders of measuring companies Rentrak and… http://dlvr.it/D5gDcr,,,
2015-12-25T00:24:07.000Z,Rentrak shareholders to get their say on merger next month http://dlvr.it/D5gD3q #Portland,,1,
2015-12-24T20:58:14.000Z,"ComScore, Rentrak set Jan. 28 meetings to approve merger http://seekingalpha.com/news/3002906-comscore-rentrak-set-jan-28-meetings-to-approve-merger?source=feed_news_on_the_move…",,,
2015-12-24T19:15:46.000Z,Rentrak shareholders to get their say on merger next month - Shareholders of measuring companies Rentrak and co... http://htl.li/39p11K,,,
2015-12-24T19:15:33.000Z,Rentrak shareholders to get their say on merger next month: Shareholders of measuring companies Rentrak and… http://dlvr.it/D5bZRY,,,
2015-12-24T19:06:36.000Z,Rentrak shareholders to get their say on merger next month http://bit.ly/1VdtOo8 #Portland #news,,,
2015-12-24T18:46:46.000Z,Portland Business - Rentrak shareholders to get their say on merger next month http://ow.ly/39oYPp,,,
2015-12-24T18:45:32.000Z,Rentrak shareholders to get their say on merger next month http://bit.ly/1Vdq99Y #Portland #Oregon,,,
2015-12-24T18:45:06.000Z,Rentrak shareholders to get their say on merger next month: Shareholders of measuring companies Rentrak and… http://dlvr.it/D5b8vP,,,
2015-12-24T16:29:07.000Z,#analytics comScore and Rentrak Merger Edges Closer: Digital analytics firm comScore and multi-screen measurem... http://bit.ly/1QKhOeV,,,
2015-12-24T14:50:00.000Z,comScore and Rentrak Merger Edges Closer http://mrweb.com/drno/news21987.htm… #mrx #marketresearch,,,
2015-12-24T08:56:14.000Z,".
@comScore
 - 
@Rentrak
 merger moves one step closer to completion.

http://indiantelevision.com/television/tv-channels/viewership/comscore-rentrak-merger-moves-one-step-closer-to-completion-151224…

#TV #Business #News",,,
2015-12-23T23:50:53.000Z,$SCOR: ComScore and Rentrak (RENT) merger closing expected by the end of January http://bit.ly/1QMA4Ep,,,
2015-12-23T23:07:30.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://prn.to/1YyARNA,,,
2015-12-23T23:00:11.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://financialbuzz.com/comscore-and-rentrak-merger-moves-one-step-closer-to-completion-special-shareholder-meetings-scheduled-381434…,,,
2015-12-23T22:20:02.000Z,"ComScore, Rentrak set Jan. 28 meetings to approve merger http://bit.ly/1YyuGsT",,,
2015-12-23T22:12:11.000Z,comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled http://dlvr.it/D5C58K,,,
2015-12-23T22:02:39.000Z,"RT https://twitter.com/DCBrief/status/679783439894052864… http://DCBrief.Com ComScore, Rentrak set Jan. 28 meetings to approve merger:  http://bit.ly/1Sczijk #s…Quote Tweet
DCBrief Bookstore
@DCBrief
 · Dec 23, 2015
http://DCBrief.Com ComScore, Rentrak set Jan. 28 meetings to approve merger:  http://bit.ly/1Sczijk #stocks #markets",,,
2015-12-23T22:01:11.000Z,"#FutureWorldNews ComScore, Rentrak set Jan. 28 meetings to approve merger http://ift.tt/1Irm4Nx Follow KevinFitts",,,
2015-12-23T21:59:36.000Z,"http://DCBrief.Com ComScore, Rentrak set Jan. 28 meetings to approve merger:  http://bit.ly/1Sczijk #stocks #markets",,,1
2015-12-23T21:54:59.000Z,"@comscore
 and 
@rentrak
 merger moves one step closer to completion  http://bit.ly/1ZpVp7X",,1,
2015-12-23T21:44:42.000Z,"ComScore, Rentrak set Jan. 28 meetings to approve merger http://puls.ly/_F11ig",,,
2015-12-23T21:31:47.000Z,"ComScore, Rentrak set Jan. 28 meetings to approve merger http://seekingalpha.com/news/3002906-comscore-rentrak-set-jan-28-meetings-to-approve-merger?source=feed_f… $SCOR $RENT",,,
2015-12-23T21:23:45.000Z,"$RENT comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled
From our Stock News Alerts App",,,
2015-12-23T21:23:05.000Z,"$SCOR comScore and Rentrak Merger Moves One Step Closer to Completion; Special Shareholder Meetings Scheduled
From our Stock News Alerts App",,,
2015-12-23T21:05:20.000Z,Comscore/Rentrak shareholders to vote on merger Jan. 28: http://sec.gov/Archives/edgar/data/1158172/000119312515412781/d53131d424b3.htm…,,,1
2015-12-02T23:20:40.000Z,"Rentrak, comScore Merger Passes Antitrust Hurdle http://ow.ly/V2RhJ",,,
2015-11-30T21:40:23.000Z,"@Rentrak
 @comScore
 #merger passes #Antitrust hurdle http://homemediamagazine.com/financial/rentrak-comscore-merger-passes-antitrust-hurdle-37102?utm_source=homemedia&utm_medium=email&utm_campaign=breakingnews_11_24_2015&utm_content=rentrak-comscore-merger-passes-antitrust-hurdle-37102&mkt_tok=3RkMMJWWfF9wsRonvanOdO%2FhmjTEU5z17OklWaSzlMI%2F0ER3fOvrPUfGjI4ARctkMq%2BTFAwTG5toziV8R7LMKM1ty9MQWxTk…",,,
2015-11-30T20:13:52.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step  - via 
@comScore
 http://bit.ly/1Or3xlv",,,
2015-11-30T14:09:18.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://bit.ly/1YDazq9",,,
2015-11-30T12:16:41.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://bit.ly/1MPNQBM",,,
2015-11-27T13:46:08.000Z,COMSCORE-RENTRAK MERGER CLEARS US ANTITRUST HURDLE http://manavigator.com/news/-comscore_rentrak-merger-clears-us-antitrust-hurdle…,,,
2015-11-27T13:06:08.000Z,ComScore-Rentrak Merger Clears US Antitrust Hurdle http://manavigator.com/news/comscore_rentrak-merger-clears-us-antitrust-hurdle…,,,
2015-11-25T22:45:08.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step - comScore, Inc https://lnkd.in/emHAtbi",,,
2015-11-25T09:44:34.000Z,"http://tinyurl.com/owvrge9 A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step",,,
2015-11-24T21:20:14.000Z,"#Rentrak, #comScore Merger Passes #Antitrust Hurdle (
@HomeMediaMag
) - http://ow.ly/V2hPH #disc #HomeEntertainment",,,1
2015-11-24T20:34:03.000Z,"Rentrak, comScore deal passes first hurdle: The proposed merger between media measuring companies Rentrak and… http://dlvr.it/Cqkz1D",,,1
2015-11-24T20:18:06.000Z,"Rentrak, comScore deal passes first hurdle - The proposed merger between media measuring companies Rentrak and ... http://htl.li/38ixQ4",,,
2015-11-24T19:33:35.000Z,"Rentrak, comScore deal passes first hurdle: The proposed merger between media measuring companies Rentrak and… http://dlvr.it/Cqk97n",,,
2015-11-24T19:33:34.000Z,"Rentrak, comScore deal passes first hurdle: The proposed merger between media measuring companies Rentrak and… http://dlvr.it/CqkB1V",,,
2015-11-24T17:46:23.000Z,"The waiting period under Hart-Scott-Rodino related to the merger of Rentrak $RENT and comScore $SCOR expired on November 24, 2015",,,
2015-11-24T16:43:09.000Z,"Rentrak, comScore Merger Passes Antitrust Hurdle http://dlvr.it/Cqg8K1",,,
2015-11-24T16:40:41.000Z,"Rentrak, comScore Merger Passes Antitrust Hurdle: Rentrak and comScore Nov. 24 announced their proposed merger has… http://dlvr.it/Cqg81K",,,
2015-11-24T16:40:36.000Z,Rentrak and comScore Nov. 24 announced their proposed merger has passed the mandated waiting period for the… http://dlvr.it/Cqg7Z2,,,
2015-11-24T15:54:09.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step  - via 
@comScore
 http://bit.ly/1TcyZ6E",,,
2015-11-24T15:28:38.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://prn.to/1TcuusO",,,
2015-11-24T15:28:13.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://prn.to/1ShNk0Y  #IBanking",,,
2015-11-24T15:08:06.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://dlvr.it/CqdKPS",,,
2015-11-24T14:52:35.000Z,"A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step http://ift.tt/1I8jSKC",,,
2015-11-24T14:07:26.000Z,"$SCOR A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step
From our Stock News Alerts App",,,
2015-11-24T14:05:40.000Z,"$RENT A Major Milestone Passes, Moving the comScore-Rentrak Merger Forward to Next Step
From our Stock News Alerts App",,,
2015-11-23T21:50:55.000Z,"ComScore CEO 
@sergematta
 On What The Rentrak Merger Means
 http://ow.ly/UllO1",,,
2015-11-02T19:33:04.000Z,"The availability of one-on-one data for marketers, driven by the recent comScore/Rentrak merger, will... http://fb.me/49ojAydWT",,,
2015-10-30T19:14:38.000Z,"Listening: Behind comScore & Rentrak merger, Kantar, WPP. Twitter longer form tweets in works? (RBDR 10.1.15) #mrx http://youtu.be/0Gu2Y-Fuhtc",,,
2015-10-23T13:09:13.000Z,Media Industry Demonstrates Broad Support for the Announcement of a comScore and Rentrak Merger http://bit.ly/1Ma1L28,,1,
2015-10-23T09:31:22.000Z,Will the comScore Rentrak merger mean better media measurement?http://tinyurl.com/neg32ey #marketing #marketresearch,,,
2015-10-23T03:25:40.000Z,Tivo says that it will celebrate the merger of ratings companies comScore Inc. and Rentrak Corp. (Nasdaq: RENT) with…https://lnkd.in/edB575C,,,
2015-10-22T20:08:25.000Z,Media Industry Demonstrates Broad Support for the Announcement of a comScore and Rentrak Merger http://bit.ly/1KrJ7l9,,,
2015-10-22T18:36:35.000Z,With political campaigns here mixed with the merger of Rentrak and ComScore ,,,
2015-10-22T17:39:13.000Z,Media Industry Demonstrates Broad Support for the Announcement of a comScore and Rentrak Merger http://bit.ly/1PJdSZO,,,
2015-10-22T14:27:47.000Z,"Nielsen Boss Shrugs Off ComScore-Rentrak Merger: 'Good for Them' https://shar.es/1uKwgw via 
@TheWrap",,,
2015-10-22T11:54:22.000Z,"@Nielsen
 Boss Shrugs Off #ComScore-#Rentrak Merger: 'Good for Them' https://shar.es/1uKfN2 via 
@TheWrap",,,
